,video_id,sequence,video_frame,sequence_frame,image_id,annotations,clamped_annotations
31,0,40258,31,31,0-31,"[{'x': 518, 'y': 171, 'width': 71, 'height': 55}]","[{'x': 518, 'y': 171, 'width': 71, 'height': 55}]"
32,0,40258,32,32,0-32,"[{'x': 518, 'y': 165, 'width': 73, 'height': 56}]","[{'x': 518, 'y': 165, 'width': 73, 'height': 56}]"
33,0,40258,33,33,0-33,"[{'x': 519, 'y': 160, 'width': 74, 'height': 58}]","[{'x': 519, 'y': 160, 'width': 74, 'height': 58}]"
34,0,40258,34,34,0-34,"[{'x': 519, 'y': 155, 'width': 76, 'height': 60}]","[{'x': 519, 'y': 155, 'width': 76, 'height': 60}]"
35,0,40258,35,35,0-35,"[{'x': 520, 'y': 151, 'width': 78, 'height': 62}, {'x': 598, 'y': 204, 'width': 58, 'height': 32}]","[{'x': 520, 'y': 151, 'width': 78, 'height': 62}, {'x': 598, 'y': 204, 'width': 58, 'height': 32}]"
36,0,40258,36,36,0-36,"[{'x': 520, 'y': 148, 'width': 80, 'height': 63}, {'x': 598, 'y': 206, 'width': 61, 'height': 34}]","[{'x': 520, 'y': 148, 'width': 80, 'height': 63}, {'x': 598, 'y': 206, 'width': 61, 'height': 34}]"
37,0,40258,37,37,0-37,"[{'x': 521, 'y': 144, 'width': 82, 'height': 65}, {'x': 599, 'y': 208, 'width': 64, 'height': 36}]","[{'x': 521, 'y': 144, 'width': 82, 'height': 65}, {'x': 599, 'y': 208, 'width': 64, 'height': 36}]"
38,0,40258,38,38,0-38,"[{'x': 522, 'y': 141, 'width': 83, 'height': 67}, {'x': 599, 'y': 209, 'width': 66, 'height': 38}]","[{'x': 522, 'y': 141, 'width': 83, 'height': 67}, {'x': 599, 'y': 209, 'width': 66, 'height': 38}]"
39,0,40258,39,39,0-39,"[{'x': 521, 'y': 139, 'width': 85, 'height': 69}, {'x': 599, 'y': 211, 'width': 69, 'height': 40}]","[{'x': 521, 'y': 139, 'width': 85, 'height': 69}, {'x': 599, 'y': 211, 'width': 69, 'height': 40}]"
40,0,40258,40,40,0-40,"[{'x': 521, 'y': 138, 'width': 87, 'height': 71}, {'x': 599, 'y': 213, 'width': 72, 'height': 42}]","[{'x': 521, 'y': 138, 'width': 87, 'height': 71}, {'x': 599, 'y': 213, 'width': 72, 'height': 42}]"
41,0,40258,41,41,0-41,"[{'x': 521, 'y': 138, 'width': 89, 'height': 73}, {'x': 602, 'y': 219, 'width': 72, 'height': 42}]","[{'x': 521, 'y': 138, 'width': 89, 'height': 73}, {'x': 602, 'y': 219, 'width': 72, 'height': 42}]"
42,0,40258,42,42,0-42,"[{'x': 521, 'y': 139, 'width': 91, 'height': 74}, {'x': 604, 'y': 226, 'width': 72, 'height': 42}]","[{'x': 521, 'y': 139, 'width': 91, 'height': 74}, {'x': 604, 'y': 226, 'width': 72, 'height': 42}]"
43,0,40258,43,43,0-43,"[{'x': 523, 'y': 134, 'width': 92, 'height': 77}, {'x': 607, 'y': 232, 'width': 72, 'height': 42}]","[{'x': 523, 'y': 134, 'width': 92, 'height': 77}, {'x': 607, 'y': 232, 'width': 72, 'height': 42}]"
44,0,40258,44,44,0-44,"[{'x': 524, 'y': 139, 'width': 94, 'height': 80}, {'x': 609, 'y': 238, 'width': 72, 'height': 42}]","[{'x': 524, 'y': 139, 'width': 94, 'height': 80}, {'x': 609, 'y': 238, 'width': 72, 'height': 42}]"
45,0,40258,45,45,0-45,"[{'x': 525, 'y': 145, 'width': 96, 'height': 83}, {'x': 613, 'y': 253, 'width': 72, 'height': 43}]","[{'x': 525, 'y': 145, 'width': 96, 'height': 83}, {'x': 613, 'y': 253, 'width': 72, 'height': 43}]"
46,0,40258,46,46,0-46,"[{'x': 527, 'y': 150, 'width': 98, 'height': 86}, {'x': 616, 'y': 267, 'width': 72, 'height': 44}]","[{'x': 527, 'y': 150, 'width': 98, 'height': 86}, {'x': 616, 'y': 267, 'width': 72, 'height': 44}]"
47,0,40258,47,47,0-47,"[{'x': 530, 'y': 162, 'width': 100, 'height': 89}, {'x': 620, 'y': 282, 'width': 72, 'height': 44}]","[{'x': 530, 'y': 162, 'width': 100, 'height': 89}, {'x': 620, 'y': 282, 'width': 72, 'height': 44}]"
48,0,40258,48,48,0-48,"[{'x': 534, 'y': 174, 'width': 101, 'height': 92}, {'x': 618, 'y': 304, 'width': 95, 'height': 56}]","[{'x': 534, 'y': 174, 'width': 101, 'height': 92}, {'x': 618, 'y': 304, 'width': 95, 'height': 56}]"
49,0,40258,49,49,0-49,"[{'x': 537, 'y': 186, 'width': 103, 'height': 95}, {'x': 624, 'y': 324, 'width': 95, 'height': 56}]","[{'x': 537, 'y': 186, 'width': 103, 'height': 95}, {'x': 624, 'y': 324, 'width': 95, 'height': 56}]"
50,0,40258,50,50,0-50,"[{'x': 539, 'y': 205, 'width': 105, 'height': 98}, {'x': 630, 'y': 351, 'width': 95, 'height': 56}]","[{'x': 539, 'y': 205, 'width': 105, 'height': 98}, {'x': 630, 'y': 351, 'width': 95, 'height': 56}]"
51,0,40258,51,51,0-51,"[{'x': 541, 'y': 224, 'width': 107, 'height': 101}, {'x': 636, 'y': 377, 'width': 95, 'height': 56}]","[{'x': 541, 'y': 224, 'width': 107, 'height': 101}, {'x': 636, 'y': 377, 'width': 95, 'height': 56}]"
52,0,40258,52,52,0-52,"[{'x': 543, 'y': 244, 'width': 109, 'height': 104}, {'x': 642, 'y': 403, 'width': 95, 'height': 56}]","[{'x': 543, 'y': 244, 'width': 109, 'height': 104}, {'x': 642, 'y': 403, 'width': 95, 'height': 56}]"
53,0,40258,53,53,0-53,"[{'x': 540, 'y': 258, 'width': 110, 'height': 104}, {'x': 649, 'y': 431, 'width': 95, 'height': 56}]","[{'x': 540, 'y': 258, 'width': 110, 'height': 104}, {'x': 649, 'y': 431, 'width': 95, 'height': 56}]"
54,0,40258,54,54,0-54,"[{'x': 540, 'y': 284, 'width': 112, 'height': 105}, {'x': 653, 'y': 466, 'width': 95, 'height': 56}]","[{'x': 540, 'y': 284, 'width': 112, 'height': 105}, {'x': 653, 'y': 466, 'width': 95, 'height': 56}]"
55,0,40258,55,55,0-55,"[{'x': 540, 'y': 310, 'width': 113, 'height': 105}, {'x': 657, 'y': 501, 'width': 95, 'height': 56}]","[{'x': 540, 'y': 310, 'width': 113, 'height': 105}, {'x': 657, 'y': 501, 'width': 95, 'height': 56}]"
56,0,40258,56,56,0-56,"[{'x': 540, 'y': 336, 'width': 115, 'height': 105}, {'x': 659, 'y': 534, 'width': 98, 'height': 67}]","[{'x': 540, 'y': 336, 'width': 115, 'height': 105}, {'x': 659, 'y': 534, 'width': 98, 'height': 67}]"
57,0,40258,57,57,0-57,"[{'x': 539, 'y': 362, 'width': 116, 'height': 106}, {'x': 662, 'y': 566, 'width': 101, 'height': 78}]","[{'x': 539, 'y': 362, 'width': 116, 'height': 106}, {'x': 662, 'y': 566, 'width': 101, 'height': 78}]"
58,0,40258,58,58,0-58,"[{'x': 539, 'y': 388, 'width': 118, 'height': 106}, {'x': 666, 'y': 607, 'width': 101, 'height': 78}]","[{'x': 539, 'y': 388, 'width': 118, 'height': 106}, {'x': 666, 'y': 607, 'width': 101, 'height': 78}]"
59,0,40258,59,59,0-59,"[{'x': 539, 'y': 414, 'width': 119, 'height': 106}, {'x': 671, 'y': 652, 'width': 101, 'height': 67}]","[{'x': 539, 'y': 414, 'width': 119, 'height': 106}, {'x': 671, 'y': 652, 'width': 101, 'height': 67}]"
60,0,40258,60,60,0-60,"[{'x': 535, 'y': 444, 'width': 127, 'height': 113}]","[{'x': 535, 'y': 444, 'width': 127, 'height': 113}]"
61,0,40258,61,61,0-61,"[{'x': 532, 'y': 474, 'width': 134, 'height': 119}]","[{'x': 532, 'y': 474, 'width': 134, 'height': 119}]"
62,0,40258,62,62,0-62,"[{'x': 528, 'y': 505, 'width': 141, 'height': 126}]","[{'x': 528, 'y': 505, 'width': 141, 'height': 126}]"
63,0,40258,63,63,0-63,"[{'x': 525, 'y': 538, 'width': 141, 'height': 126}]","[{'x': 525, 'y': 538, 'width': 141, 'height': 126}]"
64,0,40258,64,64,0-64,"[{'x': 458, 'y': 16, 'width': 57, 'height': 57}, {'x': 522, 'y': 572, 'width': 141, 'height': 126}]","[{'x': 458, 'y': 16, 'width': 57, 'height': 57}, {'x': 522, 'y': 572, 'width': 141, 'height': 126}]"
65,0,40258,65,65,0-65,"[{'x': 455, 'y': 35, 'width': 57, 'height': 57}, {'x': 510, 'y': 615, 'width': 141, 'height': 104}]","[{'x': 455, 'y': 35, 'width': 57, 'height': 57}, {'x': 510, 'y': 615, 'width': 141, 'height': 104}]"
66,0,40258,66,66,0-66,"[{'x': 451, 'y': 53, 'width': 57, 'height': 57}, {'x': 504, 'y': 659, 'width': 141, 'height': 60}]","[{'x': 451, 'y': 53, 'width': 57, 'height': 57}, {'x': 504, 'y': 659, 'width': 141, 'height': 60}]"
67,0,40258,67,67,0-67,"[{'x': 448, 'y': 72, 'width': 57, 'height': 57}]","[{'x': 448, 'y': 72, 'width': 57, 'height': 57}]"
68,0,40258,68,68,0-68,"[{'x': 445, 'y': 90, 'width': 57, 'height': 57}]","[{'x': 445, 'y': 90, 'width': 57, 'height': 57}]"
69,0,40258,69,69,0-69,"[{'x': 442, 'y': 109, 'width': 57, 'height': 57}]","[{'x': 442, 'y': 109, 'width': 57, 'height': 57}]"
70,0,40258,70,70,0-70,"[{'x': 439, 'y': 127, 'width': 57, 'height': 57}]","[{'x': 439, 'y': 127, 'width': 57, 'height': 57}]"
71,0,40258,71,71,0-71,"[{'x': 435, 'y': 145, 'width': 57, 'height': 57}]","[{'x': 435, 'y': 145, 'width': 57, 'height': 57}]"
72,0,40258,72,72,0-72,"[{'x': 432, 'y': 164, 'width': 57, 'height': 57}]","[{'x': 432, 'y': 164, 'width': 57, 'height': 57}]"
73,0,40258,73,73,0-73,"[{'x': 429, 'y': 182, 'width': 57, 'height': 57}]","[{'x': 429, 'y': 182, 'width': 57, 'height': 57}]"
74,0,40258,74,74,0-74,"[{'x': 426, 'y': 201, 'width': 57, 'height': 57}]","[{'x': 426, 'y': 201, 'width': 57, 'height': 57}]"
75,0,40258,75,75,0-75,"[{'x': 421, 'y': 217, 'width': 59, 'height': 58}]","[{'x': 421, 'y': 217, 'width': 59, 'height': 58}]"
76,0,40258,76,76,0-76,"[{'x': 416, 'y': 234, 'width': 61, 'height': 59}]","[{'x': 416, 'y': 234, 'width': 61, 'height': 59}]"
77,0,40258,77,77,0-77,"[{'x': 411, 'y': 250, 'width': 62, 'height': 60}]","[{'x': 411, 'y': 250, 'width': 62, 'height': 60}]"
78,0,40258,78,78,0-78,"[{'x': 406, 'y': 267, 'width': 64, 'height': 62}]","[{'x': 406, 'y': 267, 'width': 64, 'height': 62}]"
79,0,40258,79,79,0-79,"[{'x': 401, 'y': 283, 'width': 66, 'height': 63}]","[{'x': 401, 'y': 283, 'width': 66, 'height': 63}]"
80,0,40258,80,80,0-80,"[{'x': 395, 'y': 300, 'width': 68, 'height': 64}]","[{'x': 395, 'y': 300, 'width': 68, 'height': 64}]"
81,0,40258,81,81,0-81,"[{'x': 390, 'y': 316, 'width': 70, 'height': 65}]","[{'x': 390, 'y': 316, 'width': 70, 'height': 65}]"
82,0,40258,82,82,0-82,"[{'x': 385, 'y': 333, 'width': 71, 'height': 66}]","[{'x': 385, 'y': 333, 'width': 71, 'height': 66}]"
83,0,40258,83,83,0-83,"[{'x': 380, 'y': 349, 'width': 73, 'height': 68}]","[{'x': 380, 'y': 349, 'width': 73, 'height': 68}]"
84,0,40258,84,84,0-84,"[{'x': 375, 'y': 366, 'width': 75, 'height': 69}]","[{'x': 375, 'y': 366, 'width': 75, 'height': 69}]"
85,0,40258,85,85,0-85,"[{'x': 369, 'y': 381, 'width': 77, 'height': 70}]","[{'x': 369, 'y': 381, 'width': 77, 'height': 70}]"
86,0,40258,86,86,0-86,"[{'x': 363, 'y': 397, 'width': 79, 'height': 71}]","[{'x': 363, 'y': 397, 'width': 79, 'height': 71}]"
87,0,40258,87,87,0-87,"[{'x': 357, 'y': 413, 'width': 81, 'height': 72}]","[{'x': 357, 'y': 413, 'width': 81, 'height': 72}]"
88,0,40258,88,88,0-88,"[{'x': 351, 'y': 429, 'width': 83, 'height': 73}]","[{'x': 351, 'y': 429, 'width': 83, 'height': 73}]"
89,0,40258,89,89,0-89,"[{'x': 345, 'y': 444, 'width': 85, 'height': 74}]","[{'x': 345, 'y': 444, 'width': 85, 'height': 74}]"
90,0,40258,90,90,0-90,"[{'x': 339, 'y': 460, 'width': 86, 'height': 75}]","[{'x': 339, 'y': 460, 'width': 86, 'height': 75}]"
91,0,40258,91,91,0-91,"[{'x': 333, 'y': 476, 'width': 88, 'height': 76}]","[{'x': 333, 'y': 476, 'width': 88, 'height': 76}]"
92,0,40258,92,92,0-92,"[{'x': 328, 'y': 492, 'width': 90, 'height': 77}]","[{'x': 328, 'y': 492, 'width': 90, 'height': 77}]"
93,0,40258,93,93,0-93,"[{'x': 322, 'y': 507, 'width': 92, 'height': 78}]","[{'x': 322, 'y': 507, 'width': 92, 'height': 78}]"
94,0,40258,94,94,0-94,"[{'x': 316, 'y': 523, 'width': 94, 'height': 79}]","[{'x': 316, 'y': 523, 'width': 94, 'height': 79}]"
95,0,40258,95,95,0-95,"[{'x': 308, 'y': 540, 'width': 100, 'height': 81}]","[{'x': 308, 'y': 540, 'width': 100, 'height': 81}]"
96,0,40258,96,96,0-96,"[{'x': 301, 'y': 556, 'width': 105, 'height': 83}]","[{'x': 301, 'y': 556, 'width': 105, 'height': 83}]"
97,0,40258,97,97,0-97,"[{'x': 294, 'y': 572, 'width': 111, 'height': 86}]","[{'x': 294, 'y': 572, 'width': 111, 'height': 86}]"
98,0,40258,98,98,0-98,"[{'x': 287, 'y': 589, 'width': 116, 'height': 88}]","[{'x': 287, 'y': 589, 'width': 116, 'height': 88}]"
99,0,40258,99,99,0-99,"[{'x': 282, 'y': 606, 'width': 116, 'height': 88}]","[{'x': 282, 'y': 606, 'width': 116, 'height': 88}]"
100,0,40258,100,100,0-100,"[{'x': 276, 'y': 631, 'width': 116, 'height': 88}]","[{'x': 276, 'y': 631, 'width': 116, 'height': 88}]"
101,0,40258,101,101,0-101,"[{'x': 266, 'y': 659, 'width': 116, 'height': 60}, {'x': 640, 'y': 52, 'width': 22, 'height': 20}]","[{'x': 266, 'y': 659, 'width': 116, 'height': 60}, {'x': 640, 'y': 52, 'width': 22, 'height': 20}]"
102,0,40258,102,102,0-102,"[{'x': 263, 'y': 680, 'width': 116, 'height': 39}, {'x': 640, 'y': 50, 'width': 22, 'height': 20}]","[{'x': 263, 'y': 680, 'width': 116, 'height': 39}, {'x': 640, 'y': 50, 'width': 22, 'height': 20}]"
103,0,40258,103,103,0-103,"[{'x': 642, 'y': 49, 'width': 20, 'height': 21}]","[{'x': 642, 'y': 49, 'width': 20, 'height': 21}]"
104,0,40258,104,104,0-104,"[{'x': 642, 'y': 46, 'width': 22, 'height': 22}]","[{'x': 642, 'y': 46, 'width': 22, 'height': 22}]"
105,0,40258,105,105,0-105,"[{'x': 642, 'y': 43, 'width': 20, 'height': 22}]","[{'x': 642, 'y': 43, 'width': 20, 'height': 22}]"
106,0,40258,106,106,0-106,"[{'x': 644, 'y': 39, 'width': 20, 'height': 22}]","[{'x': 644, 'y': 39, 'width': 20, 'height': 22}]"
107,0,40258,107,107,0-107,"[{'x': 645, 'y': 35, 'width': 21, 'height': 22}]","[{'x': 645, 'y': 35, 'width': 21, 'height': 22}]"
108,0,40258,108,108,0-108,"[{'x': 646, 'y': 32, 'width': 21, 'height': 23}]","[{'x': 646, 'y': 32, 'width': 21, 'height': 23}]"
109,0,40258,109,109,0-109,"[{'x': 647, 'y': 28, 'width': 22, 'height': 23}]","[{'x': 647, 'y': 28, 'width': 22, 'height': 23}]"
110,0,40258,110,110,0-110,"[{'x': 648, 'y': 25, 'width': 22, 'height': 24}]","[{'x': 648, 'y': 25, 'width': 22, 'height': 24}]"
111,0,40258,111,111,0-111,"[{'x': 649, 'y': 22, 'width': 23, 'height': 24}]","[{'x': 649, 'y': 22, 'width': 23, 'height': 24}]"
112,0,40258,112,112,0-112,"[{'x': 650, 'y': 18, 'width': 23, 'height': 25}]","[{'x': 650, 'y': 18, 'width': 23, 'height': 25}]"
113,0,40258,113,113,0-113,"[{'x': 651, 'y': 15, 'width': 24, 'height': 25}]","[{'x': 651, 'y': 15, 'width': 24, 'height': 25}]"
114,0,40258,114,114,0-114,"[{'x': 652, 'y': 11, 'width': 24, 'height': 26}]","[{'x': 652, 'y': 11, 'width': 24, 'height': 26}]"
115,0,40258,115,115,0-115,"[{'x': 653, 'y': 8, 'width': 25, 'height': 26}]","[{'x': 653, 'y': 8, 'width': 25, 'height': 26}]"
116,0,40258,116,116,0-116,"[{'x': 654, 'y': 4, 'width': 26, 'height': 27}]","[{'x': 654, 'y': 4, 'width': 26, 'height': 27}]"
117,0,40258,117,117,0-117,"[{'x': 655, 'y': 3, 'width': 26, 'height': 27}]","[{'x': 655, 'y': 3, 'width': 26, 'height': 27}]"
118,0,40258,118,118,0-118,"[{'x': 654, 'y': 2, 'width': 29, 'height': 30}]","[{'x': 654, 'y': 2, 'width': 29, 'height': 30}]"
119,0,40258,119,119,0-119,"[{'x': 655, 'y': 2, 'width': 29, 'height': 30}]","[{'x': 655, 'y': 2, 'width': 29, 'height': 30}]"
120,0,40258,120,120,0-120,"[{'x': 656, 'y': 2, 'width': 29, 'height': 30}]","[{'x': 656, 'y': 2, 'width': 29, 'height': 30}]"
121,0,40258,121,121,0-121,"[{'x': 658, 'y': 3, 'width': 29, 'height': 30}]","[{'x': 658, 'y': 3, 'width': 29, 'height': 30}]"
122,0,40258,122,122,0-122,"[{'x': 659, 'y': 3, 'width': 29, 'height': 30}]","[{'x': 659, 'y': 3, 'width': 29, 'height': 30}]"
123,0,40258,123,123,0-123,"[{'x': 660, 'y': 3, 'width': 29, 'height': 30}]","[{'x': 660, 'y': 3, 'width': 29, 'height': 30}]"
124,0,40258,124,124,0-124,"[{'x': 661, 'y': 4, 'width': 29, 'height': 30}]","[{'x': 661, 'y': 4, 'width': 29, 'height': 30}]"
125,0,40258,125,125,0-125,"[{'x': 662, 'y': 4, 'width': 29, 'height': 30}]","[{'x': 662, 'y': 4, 'width': 29, 'height': 30}]"
126,0,40258,126,126,0-126,"[{'x': 663, 'y': 7, 'width': 29, 'height': 30}]","[{'x': 663, 'y': 7, 'width': 29, 'height': 30}]"
127,0,40258,127,127,0-127,"[{'x': 664, 'y': 9, 'width': 29, 'height': 30}]","[{'x': 664, 'y': 9, 'width': 29, 'height': 30}]"
128,0,40258,128,128,0-128,"[{'x': 664, 'y': 12, 'width': 29, 'height': 30}]","[{'x': 664, 'y': 12, 'width': 29, 'height': 30}]"
129,0,40258,129,129,0-129,"[{'x': 665, 'y': 15, 'width': 29, 'height': 30}]","[{'x': 665, 'y': 15, 'width': 29, 'height': 30}]"
130,0,40258,130,130,0-130,"[{'x': 666, 'y': 18, 'width': 30, 'height': 31}]","[{'x': 666, 'y': 18, 'width': 30, 'height': 31}]"
131,0,40258,131,131,0-131,"[{'x': 666, 'y': 24, 'width': 30, 'height': 32}]","[{'x': 666, 'y': 24, 'width': 30, 'height': 32}]"
132,0,40258,132,132,0-132,"[{'x': 665, 'y': 31, 'width': 31, 'height': 32}]","[{'x': 665, 'y': 31, 'width': 31, 'height': 32}]"
133,0,40258,133,133,0-133,"[{'x': 665, 'y': 38, 'width': 31, 'height': 33}]","[{'x': 665, 'y': 38, 'width': 31, 'height': 33}]"
134,0,40258,134,134,0-134,"[{'x': 666, 'y': 45, 'width': 32, 'height': 33}]","[{'x': 666, 'y': 45, 'width': 32, 'height': 33}]"
135,0,40258,135,135,0-135,"[{'x': 666, 'y': 51, 'width': 32, 'height': 34}]","[{'x': 666, 'y': 51, 'width': 32, 'height': 34}]"
136,0,40258,136,136,0-136,"[{'x': 666, 'y': 61, 'width': 33, 'height': 34}]","[{'x': 666, 'y': 61, 'width': 33, 'height': 34}]"
137,0,40258,137,137,0-137,"[{'x': 665, 'y': 71, 'width': 33, 'height': 35}]","[{'x': 665, 'y': 71, 'width': 33, 'height': 35}]"
138,0,40258,138,138,0-138,"[{'x': 664, 'y': 81, 'width': 33, 'height': 36}]","[{'x': 664, 'y': 81, 'width': 33, 'height': 36}]"
139,0,40258,139,139,0-139,"[{'x': 663, 'y': 89, 'width': 34, 'height': 36}]","[{'x': 663, 'y': 89, 'width': 34, 'height': 36}]"
140,0,40258,140,140,0-140,"[{'x': 662, 'y': 98, 'width': 35, 'height': 37}]","[{'x': 662, 'y': 98, 'width': 35, 'height': 37}]"
141,0,40258,141,141,0-141,"[{'x': 661, 'y': 106, 'width': 35, 'height': 38}]","[{'x': 661, 'y': 106, 'width': 35, 'height': 38}]"
142,0,40258,142,142,0-142,"[{'x': 660, 'y': 115, 'width': 36, 'height': 39}]","[{'x': 660, 'y': 115, 'width': 36, 'height': 39}]"
143,0,40258,143,143,0-143,"[{'x': 658, 'y': 123, 'width': 37, 'height': 40}]","[{'x': 658, 'y': 123, 'width': 37, 'height': 40}]"
144,0,40258,144,144,0-144,"[{'x': 656, 'y': 132, 'width': 37, 'height': 40}]","[{'x': 656, 'y': 132, 'width': 37, 'height': 40}]"
145,0,40258,145,145,0-145,"[{'x': 654, 'y': 141, 'width': 38, 'height': 41}]","[{'x': 654, 'y': 141, 'width': 38, 'height': 41}]"
146,0,40258,146,146,0-146,"[{'x': 652, 'y': 150, 'width': 39, 'height': 42}]","[{'x': 652, 'y': 150, 'width': 39, 'height': 42}]"
147,0,40258,147,147,0-147,"[{'x': 649, 'y': 158, 'width': 39, 'height': 43}]","[{'x': 649, 'y': 158, 'width': 39, 'height': 43}]"
148,0,40258,148,148,0-148,"[{'x': 648, 'y': 172, 'width': 40, 'height': 44}]","[{'x': 648, 'y': 172, 'width': 40, 'height': 44}]"
149,0,40258,149,149,0-149,"[{'x': 645, 'y': 182, 'width': 41, 'height': 45}]","[{'x': 645, 'y': 182, 'width': 41, 'height': 45}]"
150,0,40258,150,150,0-150,"[{'x': 642, 'y': 191, 'width': 42, 'height': 46}]","[{'x': 642, 'y': 191, 'width': 42, 'height': 46}]"
151,0,40258,151,151,0-151,"[{'x': 639, 'y': 204, 'width': 44, 'height': 47}]","[{'x': 639, 'y': 204, 'width': 44, 'height': 47}]"
152,0,40258,152,152,0-152,"[{'x': 636, 'y': 217, 'width': 45, 'height': 48}]","[{'x': 636, 'y': 217, 'width': 45, 'height': 48}]"
153,0,40258,153,153,0-153,"[{'x': 633, 'y': 230, 'width': 46, 'height': 49}]","[{'x': 633, 'y': 230, 'width': 46, 'height': 49}]"
154,0,40258,154,154,0-154,"[{'x': 630, 'y': 243, 'width': 47, 'height': 50}]","[{'x': 630, 'y': 243, 'width': 47, 'height': 50}]"
155,0,40258,155,155,0-155,"[{'x': 627, 'y': 256, 'width': 48, 'height': 52}]","[{'x': 627, 'y': 256, 'width': 48, 'height': 52}]"
156,0,40258,156,156,0-156,"[{'x': 624, 'y': 269, 'width': 49, 'height': 53}]","[{'x': 624, 'y': 269, 'width': 49, 'height': 53}]"
157,0,40258,157,157,0-157,"[{'x': 621, 'y': 282, 'width': 50, 'height': 54}]","[{'x': 621, 'y': 282, 'width': 50, 'height': 54}]"
158,0,40258,158,158,0-158,"[{'x': 618, 'y': 296, 'width': 52, 'height': 55}]","[{'x': 618, 'y': 296, 'width': 52, 'height': 55}]"
159,0,40258,159,159,0-159,"[{'x': 615, 'y': 310, 'width': 53, 'height': 55}]","[{'x': 615, 'y': 310, 'width': 53, 'height': 55}]"
160,0,40258,160,160,0-160,"[{'x': 612, 'y': 323, 'width': 53, 'height': 55}]","[{'x': 612, 'y': 323, 'width': 53, 'height': 55}]"
161,0,40258,161,161,0-161,"[{'x': 609, 'y': 337, 'width': 54, 'height': 56}]","[{'x': 609, 'y': 337, 'width': 54, 'height': 56}]"
162,0,40258,162,162,0-162,"[{'x': 606, 'y': 351, 'width': 55, 'height': 56}]","[{'x': 606, 'y': 351, 'width': 55, 'height': 56}]"
163,0,40258,163,163,0-163,"[{'x': 602, 'y': 365, 'width': 56, 'height': 56}]","[{'x': 602, 'y': 365, 'width': 56, 'height': 56}]"
164,0,40258,164,164,0-164,"[{'x': 599, 'y': 379, 'width': 57, 'height': 59}]","[{'x': 599, 'y': 379, 'width': 57, 'height': 59}]"
165,0,40258,165,165,0-165,"[{'x': 596, 'y': 393, 'width': 58, 'height': 62}]","[{'x': 596, 'y': 393, 'width': 58, 'height': 62}]"
166,0,40258,166,166,0-166,"[{'x': 593, 'y': 407, 'width': 59, 'height': 65}]","[{'x': 593, 'y': 407, 'width': 59, 'height': 65}]"
167,0,40258,167,167,0-167,"[{'x': 590, 'y': 420, 'width': 60, 'height': 67}]","[{'x': 590, 'y': 420, 'width': 60, 'height': 67}]"
168,0,40258,168,168,0-168,"[{'x': 587, 'y': 434, 'width': 61, 'height': 70}]","[{'x': 587, 'y': 434, 'width': 61, 'height': 70}]"
169,0,40258,169,169,0-169,"[{'x': 583, 'y': 454, 'width': 62, 'height': 69}]","[{'x': 583, 'y': 454, 'width': 62, 'height': 69}]"
